study_hours,attendance,assignments_completed,sleep_hours,previous_score,marks,pass_fail
2,60,4,5,40,45,0
3,65,5,6,45,50,1
4,70,6,6,50,58,1
5,75,7,7,55,65,1
6,80,8,7,60,72,1
7,85,9,8,65,80,1
8,90,9,8,70,88,1
9,95,10,8,80,94,1
1,55,3,5,35,38,0
2,62,4,6,42,47,0
3,68,5,6,48,53,1
4,72,6,7,52,60,1
5,78,7,7,58,68,1
6,82,8,7,63,75,1
7,88,9,8,68,83,1
8,92,10,8,75,90,1
2,58,3,5,38,43,0
3,64,4,6,44,49,0
4,69,6,6,50,56,1
5,74,7,7,55,64,1
6,79,8,7,61,71,1
7,84,9,8,66,79,1
8,89,9,8,72,87,1
9,96,10,9,85,97,1
1,52,2,5,30,35,0
2,61,4,6,40,46,0
3,67,5,6,47,52,1
4,73,6,7,53,61,1
5,77,7,7,57,67,1
6,83,8,7,62,74,1
7,87,9,8,69,82,1
8,91,10,8,76,91,1
